,Unnamed: 0.1,Unnamed: 0,Number,Name,Start,End,Url,Reactor,Endt,duration
49,49,49,4.0,Paluel,2022-03-25,2022-08-11,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-422,Paluel_4,,139.0
50,50,50,4.0,Cruas-Meysse,2022-02-05,2022-07-12,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-421,Cruas-Meysse_4,,157.0
51,51,51,5.0,Bugey,2021-07-02,2022-06-07,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/maintenance-et-rechargement-en-combustible-pour-la-quatrieme-visite-decennale-du-reacteur-5,Bugey_5,,340.0
52,52,52,1.0,Cruas-Meysse,2022-05-13,2022-06-21,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-143,Cruas-Meysse_1,,39.0
53,53,53,2.0,Bugey,2022-02-18,2022-05-30,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-242,Bugey_2,,101.0
54,54,54,2.0,Tricastin,2022-04-14,2022-05-24,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-241,Tricastin_2,,40.0
55,55,55,1.0,Belleville-sur-Loire,2022-03-10,2022-05-19,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-rechargement-en-combustible-du-reacteur-14,Belleville-sur-Loire_1,,70.0
56,56,56,1.0,Gravelines,2021-08-13,2022-05-10,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-142,Gravelines_1,,270.0
57,57,57,2.0,Blayais,2022-03-11,2022-05-05,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-renouvellement-du-combustible-du-reacteur-29,Blayais_2,,55.0
58,58,58,4.0,Chinon,2022-02-04,2022-05-29,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-420,Chinon_4,,114.0
59,59,59,3.0,Bugey,2020-05-14,2021-03-20,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-renouvellement-partiel-du-combustible-du-reacteur-35,Bugey_3,,310.0
60,60,60,1.0,Dampierre-en-Burly,2021-06-18,2022-02-12,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-quatrieme-visite-decennale-du-reacteur-12,Dampierre-en-Burly_1,,239.0
61,61,61,1.0,Chinon,2021-09-17,2022-01-12,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-141,Chinon_1,,117.0
62,62,62,2.0,Golfech,2021-05-01,2021-12-13,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-240,Golfech_2,,226.0
63,63,63,4.0,Blayais,2021-09-16,2021-12-24,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-renouvellement-du-combustible-du-reacteur-45,Blayais_4,,99.0
64,64,64,2.0,Cattenom,2021-09-17,2022-01-04,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-239,Cattenom_2,,109.0
65,65,65,3.0,Dampierre-en-Burly,2021-09-17,2021-12-27,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-324,Dampierre-en-Burly_3,,101.0
66,66,66,3.0,Paluel,2021-10-29,2021-12-27,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-323,Paluel_3,,59.0
67,67,67,1.0,Tricastin,2021-10-08,2021-12-15,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustibles-du-reacteur-1,Tricastin_1,,68.0
68,68,68,1.0,Saint-Laurent-des-Eaux,2021-07-02,2021-12-12,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-140,Saint-Laurent-des-Eaux_1,,163.0
69,69,69,4.0,Gravelines,2021-05-21,2021-10-28,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-419,Gravelines_4,,160.0
70,70,70,2.0,Nogent-sur-Seine,2021-09-09,2021-11-02,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-du-combustible-du-reacteur-22,Nogent-sur-Seine_2,,54.0
71,71,71,2.0,Cruas-Meysse,2021-07-09,2021-10-17,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-238,Cruas-Meysse_2,,100.0
72,72,72,1.0,Blayais,2021-07-30,2021-09-21,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-renouvellement-du-combustible-du-reacteur-18,Blayais_1,,53.0
73,73,73,1.0,Saint-Alban,2021-08-19,2021-09-28,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-139,Saint-Alban_1,,40.0
74,74,74,1.0,Paluel,2021-04-03,2021-09-23,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-138,Paluel_1,,173.0
75,75,75,3.0,Chinon,2021-05-01,2021-08-28,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-du-reacteur-3,Chinon_3,,119.0
76,76,76,3.0,Cattenom,2021-02-11,2021-09-02,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-322,Cattenom_3,,203.0
77,77,77,2.0,Chooz,2021-02-11,2021-08-02,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-du-combustible-du-reacteur-2,Chooz_2,,172.0
78,78,78,4.0,Tricastin,2021-07-09,2021-08-20,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-418,Tricastin_4,,42.0
79,79,79,2.0,Gravelines,2021-03-26,2021-07-22,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-237,Gravelines_2,,118.0
80,80,80,3.0,Blayais,2021-06-04,2021-07-21,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-renouvellement-du-combustible-du-reacteur-33,Blayais_3,,47.0
81,81,81,2.0,Civaux,2021-01-29,2021-08-15,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-renouvellement-du-combustible-du-reacteur-28,Civaux_2,,198.0
82,82,82,2.0,Belleville-sur-Loire,2021-05-01,2021-08-06,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-rechargement-en-combustible-du-reacteur-23,Belleville-sur-Loire_2,,97.0
83,83,83,2.0,Blayais,2021-03-19,2021-07-11,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-renouvellement-du-combustible-du-reacteur-27,Blayais_2,,114.0
84,84,84,2.0,Tricastin,2021-02-05,2021-07-30,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-quatrieme-visite-decennale-du-reacteur-22,Tricastin_2,,175.0
85,85,85,1.0,Cruas-Meysse,2021-02-19,2021-07-29,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-137,Cruas-Meysse_1,,160.0
86,86,86,3.0,Tricastin,2021-03-26,2021-05-15,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-321,Tricastin_3,,50.0
87,87,87,3.0,Cruas-Meysse,2021-05-28,2021-07-16,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-320,Cruas-Meysse_3,,49.0
88,88,88,2.0,Dampierre-en-Burly,2021-05-07,2021-07-13,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-rechargement-en-combustible-du-reacteur-22,Dampierre-en-Burly_2,,67.0
89,89,89,4.0,Bugey,2020-11-21,2021-06-23,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-quatrieme-visite-decennale-du-reacteur-4,Bugey_4,,214.0
90,90,90,2.0,Saint-Alban,2021-04-01,2021-05-14,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-236,Saint-Alban_2,,43.0
91,91,91,1.0,Cattenom,2021-03-19,2021-06-19,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-136,Cattenom_1,,92.0
92,92,92,2.0,Saint-Laurent-des-Eaux,2021-02-19,2021-06-10,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-visite-partielle-du-reacteur-23,Saint-Laurent-des-Eaux_2,,111.0
93,93,93,2.0,Chinon,2021-01-30,2021-05-18,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-visite-partielle-du-reacteur-22,Chinon_2,,108.0
94,94,94,5.0,Gravelines,2021-02-05,2021-05-03,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-54,Gravelines_5,,87.0
95,95,95,1.0,Flamanville,2019-09-17,2021-05-02,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-non-programme-du-reacteur-1,Flamanville_1,,593.0
96,96,96,2.0,Penly,2021-04-17,2020-12-31,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-rechargement-en-combustible-du-reacteur-2,Penly_2,,-107.0
97,97,97,1.0,Nogent-sur-Seine,2021-02-26,2021-04-18,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-du-combustible-du-reacteur-1,Nogent-sur-Seine_1,,51.0
98,98,98,4.0,Dampierre-en-Burly,2021-02-26,2021-05-14,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-rechargement-en-combustible-du-reacteur-4,Dampierre-en-Burly_4,,77.0
99,99,99,4.0,Paluel,2021-02-19,2021-03-10,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-simple-rechargement-en-combustible-du-reacteur-4,Paluel_4,,19.0
