,Unnamed: 0,Number,Name,Start,End,Url,Reactor
475,475,2.0,Cruas-Meysse,28/09/2012,13/11/2012,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-236,Cruas-Meysse_2
476,476,3.0,Dampierre-en-Burly,14/09/2012,02/11/2012,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-rechargement-en-combustible-du-reacteur-n-3,Dampierre-en-Burly_3
477,477,3.0,Blayais,05/09/2012,01/11/2012,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-33,Blayais_3
478,478,2.0,Civaux,17/02/2012,30/09/2012,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/Arret-pour-visite-decennale-du-reacteur-n-2-de-la-centrale-nucleaire-de-Civaux-Vienne,Civaux_2
479,479,3.0,Cattenom,20/07/2012,10/10/2012,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-311,Cattenom_3
480,480,4.0,Bugey,31/08/2012,09/10/2012,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-de-reacteur-n-4-pour-maintenance-et-rechargement,Bugey_4
481,481,1.0,Saint-Alban,10/08/2012,06/10/2012,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-157,Saint-Alban_1
482,482,2.0,Blayais,31/07/2012,17/09/2012,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-26,Blayais_2
483,483,1.0,Tricastin,10/08/2012,28/09/2012,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-165,Tricastin_1
484,484,1.0,Fessenheim,24/08/2012,11/09/2012,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-integration-de-modifications-materielles-du-reacteur-n-1,Fessenheim_1
485,485,4.0,Dampierre-en-Burly,04/05/2012,11/09/2012,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-420,Dampierre-en-Burly_4
